,Title,Location,Price,Area,Status
0,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
1,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
2,2 BHK Independent House,"Shaikpet, Hyderabad","12,000",1200,Unfurnished
3,5 BHK Villa,"Nallagandla Gachibowli, Hyderabad","80,000",4000,Semi-Furnished
4,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
5,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
6,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
7,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
8,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
9,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
10,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
11,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
12,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
13,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
14,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
15,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
16,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad","27,000",1620,Semi-Furnished
17,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad","18,000",1360,Semi-Furnished
18,3 BHK Apartment,"Pocharam, Hyderabad","12,000",1500,Semi-Furnished
19,2 BHK Independent House,"Kothapet, Hyderabad","13,500",1400,Unfurnished
20,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
21,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
22,2 BHK Independent House,"Shaikpet, Hyderabad","12,000",1200,Unfurnished
23,5 BHK Villa,"Nallagandla Gachibowli, Hyderabad","80,000",4000,Semi-Furnished
24,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
25,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
26,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
27,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
28,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
29,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
30,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
31,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
32,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
33,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
34,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
35,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
36,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad","27,000",1620,Semi-Furnished
37,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad","18,000",1360,Semi-Furnished
38,3 BHK Apartment,"Pocharam, Hyderabad","12,000",1500,Semi-Furnished
39,2 BHK Independent House,"Kothapet, Hyderabad","13,500",1400,Unfurnished
40,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
41,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
42,2 BHK Independent House,"Shaikpet, Hyderabad","12,000",1200,Unfurnished
43,5 BHK Villa,"Nallagandla Gachibowli, Hyderabad","80,000",4000,Semi-Furnished
44,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
45,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
46,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
47,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
48,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
49,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
50,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
51,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
52,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
53,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
54,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
55,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
